timestamp,open,high,low,close,volume
2020-02-19,1525.0700,1532.1063,1521.4000,1526.6900,948454
2020-02-18,1515.0000,1531.6300,1512.5900,1519.6700,1092398
2020-02-14,1515.6000,1520.7400,1507.3400,1520.7400,1197836
2020-02-13,1512.6900,1527.1800,1504.6000,1514.6600,929730
2020-02-12,1514.4800,1520.6900,1508.1100,1518.2700,1167565
2020-02-11,1511.8100,1529.6300,1505.6400,1508.7900,1344633
2020-02-10,1474.3200,1509.5000,1474.3200,1508.6800,1419876
2020-02-07,1467.3000,1485.8400,1466.3500,1479.2300,1172270
2020-02-06,1450.3300,1482.0000,1449.5700,1476.2300,1679384
2020-02-05,1462.4200,1463.8400,1430.5600,1448.2300,1986157
2020-02-04,1457.0700,1469.5000,1426.3000,1447.0700,3932954
2020-02-03,1462.0000,1490.0000,1458.9900,1485.9400,3055216
2020-01-31,1468.9000,1470.1300,1428.5300,1434.2300,2417214
2020-01-30,1439.9600,1457.2800,1436.4000,1455.8400,1339421
2020-01-29,1458.8000,1465.4300,1446.7400,1458.6300,1078667
2020-01-28,1443.0000,1456.0000,1432.4700,1452.5600,1577422
2020-01-27,1431.0000,1438.0700,1421.2000,1433.9000,1755201
2020-01-24,1493.5900,1495.4900,1465.2500,1466.7100,1784644
2020-01-23,1487.6400,1495.5200,1482.1000,1486.6500,1351354
2020-01-22,1491.0000,1503.2100,1484.9300,1485.9500,1610846
2020-01-21,1479.1200,1491.8500,1471.2000,1484.4000,2008830
2020-01-17,1462.9100,1481.3000,1458.2200,1480.3900,2396215
2020-01-16,1447.4400,1451.9900,1440.9200,1451.7000,1173688
2020-01-15,1430.2100,1441.3900,1430.2100,1439.2000,1282685
2020-01-14,1439.0100,1441.8000,1428.3700,1430.8800,1560453
2020-01-13,1436.1300,1440.5200,1426.0200,1439.2300,1378286
2020-01-10,1427.5600,1434.9300,1418.3500,1429.7300,1821566
2020-01-09,1420.5700,1427.3300,1410.2700,1419.8300,1502664
2020-01-08,1392.0800,1411.5800,1390.8400,1404.3200,1529177
2020-01-07,1397.9400,1402.9900,1390.3800,1393.3400,1511693
2020-01-06,1350.0000,1396.5000,1350.0000,1394.2100,1733149
2020-01-03,1347.8600,1372.5000,1345.5400,1360.6600,1187006
2020-01-02,1341.5500,1368.1400,1341.5500,1367.3700,1406731
2019-12-31,1330.1100,1338.0000,1329.0900,1337.0200,962468
2019-12-30,1350.0000,1353.0000,1334.0200,1336.1400,1051323
2019-12-27,1362.9900,1364.5300,1349.3100,1351.8900,1038718
2019-12-26,1346.1700,1361.3300,1344.4700,1360.4000,667754
2019-12-24,1348.5000,1350.2600,1342.7800,1343.5600,347518
2019-12-23,1355.8700,1359.8000,1346.5100,1348.8400,883200
2019-12-20,1363.3500,1363.6400,1349.0000,1349.5900,3316905
2019-12-19,1351.8200,1358.1000,1348.9800,1356.0400,1470112
2019-12-18,1356.6000,1360.4700,1351.0000,1352.6200,1657069
2019-12-17,1362.8900,1365.0000,1351.3200,1355.1200,1855259
2019-12-16,1356.5000,1364.6800,1352.6700,1361.1700,1397451
2019-12-13,1347.9500,1353.0900,1343.8700,1347.8300,1550028
2019-12-12,1345.9400,1355.7800,1340.5000,1350.2700,1281722
2019-12-11,1350.8400,1351.2000,1342.6700,1345.0200,850796
2019-12-10,1341.5000,1349.9700,1336.0400,1344.6600,1094653
2019-12-09,1338.0400,1359.4500,1337.8400,1343.5600,1355795
2019-12-06,1333.4400,1344.0000,1333.4400,1340.6200,1315510
2019-12-05,1328.0000,1329.3600,1316.4400,1328.1300,1212818
2019-12-04,1307.0100,1325.8000,1304.8700,1320.5400,1538110
